kecamatan,jumlah_kasus,tahun
Babakan Madang,16,2020
Babakan Madang,34,2021
Babakan Madang,48,2022
Bojong Gede,44,2020
Bojong Gede,104,2021
Bojong Gede,109,2022
Caringin,8,2020
Caringin,50,2021
Caringin,77,2022
Cariu,2,2020
Cariu,10,2021
Cariu,9,2022
Ciampea,51,2020
Ciampea,31,2021
Ciampea,107,2022
Ciawi,21,2020
Ciawi,83,2021
Ciawi,120,2022
Cibinong,89,2020
Cibinong,218,2021
Cibinong,227,2022
Cibungbulang,63,2020
Cibungbulang,75,2021
Cibungbulang,29,2022
Cigombong,1,2020
Cigombong,13,2021
Cigombong,16,2022
Cigudeg,27,2020
Cigudeg,18,2021
Cigudeg,11,2022
Cijeruk,11,2020
Cijeruk,16,2021
Cijeruk,16,2022
Cileungsi,139,2020
Cileungsi,260,2021
Cileungsi,135,2022
Ciomas,31,2020
Ciomas,18,2021
Ciomas,5,2022
Cisarua,4,2020
Cisarua,9,2021
Cisarua,49,2022
Ciseeng,18,2020
Ciseeng,23,2021
Ciseeng,14,2022
Citeureup,47,2020
Citeureup,128,2021
Citeureup,76,2022
Dramaga,14,2020
Dramaga,19,2021
Dramaga,16,2022
Gunung Putri,95,2020
Gunung Putri,224,2021
Gunung Putri,117,2022
Gunung Sindur,45,2020
Gunung Sindur,27,2021
Gunung Sindur,12,2022
Jasinga,44,2020
Jasinga,47,2021
Jasinga,24,2022
Jonggol,37,2020
Jonggol,41,2021
Jonggol,39,2022
Klapanunggal,52,2020
Klapanunggal,42,2021
Klapanunggal,27,2022
Kemang,38,2020
Kemang,117,2021
Kemang,46,2022
Leuwiliang,47,2020
Leuwiliang,32,2021
Leuwiliang,42,2022
Leuwisadeng,17,2020
Leuwisadeng,38,2021
Leuwisadeng,16,2022
Megamendung,0,2020
Megamendung,31,2021
Megamendung,50,2022
Nanggung,26,2020
Nanggung,25,2021
Nanggung,25,2022
Pamijahan,24,2020
Pamijahan,16,2021
Pamijahan,19,2022
Parung,48,2020
Parung,104,2021
Parung,90,2022
Parung Panjang,1,2020
Parung Panjang,1,2021
Parung Panjang,2,2022
Ranca Bungur,53,2020
Ranca Bungur,68,2021
Ranca Bungur,44,2022
Rumpin,29,2020
Rumpin,71,2021
Rumpin,152,2022
Sukajaya,9,2020
Sukajaya,3,2021
Sukajaya,5,2022
Sukamakmur,0,2020
Sukamakmur,9,2021
Sukamakmur,3,2022
Sukaraja,38,2020
Sukaraja,116,2021
Sukaraja,86,2022
Tajurhalang,58,2020
Tajurhalang,51,2021
Tajurhalang,50,2022
Tamansari,34,2020
Tamansari,27,2021
Tamansari,14,2022
Tanjungsari,9,2020
Tanjungsari,9,2021
Tanjungsari,9,2022
Tenjo,3,2020
Tenjo,5,2021
Tenjo,17,2022
Tenjolaya,3,2020
Tenjolaya,7,2021
Tenjolaya,1,2022